,1231535,,HR 22: 599.786 KIR,16 pages : colour illustrations.,,,,,,,,,ISBN duplicated on all volumes in series. Guided reading: N ; Reading level: 22 ; DRA level: 28. Word count: 534.,,"Huntington Beach, CA",[2018],2018,,written by Anna Kirschberg.,,Interview with a polar bear,,,,,Monograph,text,,,,,"Kirschberg, Anna",,"Junior Learning, Inc","Fantails book banded readers. Fluency level 4, Non-fiction; 8Fantails book banded readers; 8","Levelled readersPolar bears",,,
"Summary: From the beginning of time, humans have dreamed of soaring through the sky like birds. In the early 20th century those dreams finally came true. Find out about the history and development of modern flight, from Leonardo da Vinci's ornithopter to the Wright Brothers' first flight, to powerful aircraft that fly more than 2,575 kilometres per hour. Through vivid photos and lively text, readers will learn about the people who helped influence the invention of the aeroplane. (Back cover)",1231464,,JNF 629.1309 BEE,"32 pages : illustrations (some colour), map.",,,,,,9.78147E+12,,,,,Oxford,2018,2018,,Lucy Beevor.,,The invention of the aeroplane,,,,,Monograph,text,,,,,"Beevor, Lucy",,Raintree,"Fact finders. World-changing inventions; World-changing inventions; ","Aeroplanes - HistoryFlight - HistoryAeroplanesFlightHistory",,,
Summary: Provides an introduction to the history and development of the computer and explains how a computer works. Includes information on some of the scientists and inventors who were influential in the invention of the computer.,1231463,,JNF 004 BEE,"32 pages : colour illustrations, portrait.",,,,,,9.78147E+12,,,,,Oxford,2018,2018,,by Lucy Beevor.,,The invention of the computer,,,,,Monograph,text,,,,,"Beevor, Lucy",,Raintree,"Fact finders. World-changing inventions; World-changing inventions; ","Computers - HistoryComputersHistory",,,
Summary: Explore the history and development of the telephone and find out how a telephone works. Learn about the inventors who helped influence the invention of the telephone.,1231856,,621.385 BEE,32 pages : colour illustrations.,,,,,,9.78152E+12,9.78147E+12,,,,"North Mankato, Minnesota",2018,2018,,by Lucy Beevor.,,The invention of the telephone,,,,,Monograph,text,,,,,"Beevor, Lucy",,Capstone Press,"Fact finders. World-changing inventions; World-changing inventions; ","Telephones - HistoryTelephonyHistory",,,
Summary: Explore the history and development of the television and find out how a television works. Learn about the inventors who helped influence the invention of the television.,1231384,,JNF 621.388 BEE,32 pages : colour illustrations.,,,,,,9.78147E+12,,,,,"North Mankato, Minnesota",2018,2018,,by Lucy Beevor.,,The invention of the television,,,,,Monograph,text,,,,,"Beevor, Lucy",,Capstone Press,"Fact finders. World-changing inventions; World-changing inventions; ","Television - HistoryTelevisionHistory",,,
,1231846,,,"Rulebook, 9 compound cards, 94 drafting cards, 21 action tiles",,,,,,,,,"Box contains:rulebook,9 compound cards94 drafting cards21 action tiles",,,,,,,,Ion,,,,,Equipment,game,,,,,,,,,"Board games - Mathematical aspectsBoard games - Study and teachingChemistry - Mathematical aspects - Problems, exercises, etcChemistry - Study and teachingGamesBoard gamesCard games",,,Ion. A compound Building Game
"Summary: When her parents announce their impending separation, Natalie can't understand why no one is fighting or at least mildly upset. Then Zach and Lucy, her two best friends, hook up, leaving her feeling slightly miffed and decidedly awkward. She'd always imagined she would end up with Zach one day, in the version of her life that played out like a TV show, with just the right amount of banter, pining and meaningful looks. Now everything has changed and nothing is quite making sense. Until an unexpected romance comes along and shakes things up even further. (Publisher)",1231943,,SF KEN,295 pages.,,,,,,9.78193E+12,,,,,Melbourne,2019,2019,,Nina Kenwood.,,It sounded better in my head,,,,,Monograph,text,,,,,"Kenwood, Nina",,Text Publishing,,"Adolescents - FictionFriendship - FictionHuman relations - FictionComing of age - FictionChildren of divorced parents - FictionAdolescentsFriendshipSocial relationsComing of ageDivorceParental behaviourFiction",,,
"Summary: Born to a black Xhosa mother and a white Swiss father at a time when such a union was punishable by five years in prison, Trevor was kept indoors for most of his early life, in hiding from a government that could, at any moment, steal him away. Finally liberated by the fall of apartheid, Trevor and his mother set forth on a grand adventure into the dangers and opportunities of a new South Africa. Born a Crime follows the story of a mischievous boy as he grows into a restless young man, struggling to find himself in a world where he was never supposed to exist. It also tells the story of that young man's fearless, rebellious and fervently religious mother - a woman determined to save her son from the cycle of poverty, violence and abuse that ultimately threatens her own life. Whether subsisting on caterpillars for dinner during hard times, being thrown from a moving car during an attempted kidnapping, or just trying to survive the life-and-death pitfalls of dating in high school, Noah illuminates his curious world with an incisive wit and an unflinching honesty. Born a Crime is an unforgettable portrait of a boy making his way through a damaged world in a dangerous time, armed only with a keen sense of humour - and his mother's unconventional, unconditional love.",1211139,,791.4502 NOA,294 pages.,,,,,,9.78153E+12,,,Adapted for young readers.,,London,2019,2019,,Trevor Noah.,,It's Trevor Noah : born a crime : stories from a South African childhood,,,,,Monograph,text,,,,,"Noah, Trevor",,John Murray,,"Noah, TrevorComedians - BiographyEntertainers - BiographyTelevision - United States - AutobiographyComediansEntertainersMedia presentersApartheidSouth African historyBiographiesSouth Africa - Social conditions - History",,,
Summary: Viva! is a fully-differentiated Key Stage 3 Spanish course packed with content pupils will enjoy learning and which opens the window to the Spanish-speaking world.,1231837,,SPA 468.2 MCL,"144 pages : colour illustrations, maps.",,,,,,9.78145E+12,,,Text in English and Spanish.,,"Harlow, Essex",2013,2013,,Anneli McLachlan.,,iViva! Libro 1,,,,,Monograph,text,,,,,"McLachlan, Anneli",,Pearson Education Limited,Always learning; ,"Spanish language - Problems, exercises, etcSpanish languageProblem setsTextbooks",,,
,1231374,,JF PUA,"28 unnumbered pages : colour illustrations, 1 colour map ; 21 x 30 cm",,,,,,9.78065E+12,,,,,"Cleveland, Queensland",[2016],2016,,written by Angela Puata ; illustrations by Elizabeth Burnett.,,Jagi and the huge straddie fire,,,,,Monograph,text,,,,,"Puata, AngelaBurnett, Elizabeth",,Swallows Perch Publishing,,"Forest fires - Queensland - North Stradbroke Island - Juvenile fictionKoala - Juvenile fictionNorth Stradbroke Island (Qld.) - Juvenile fiction",,,
Summary: This is the tale of Catwoman's cat-eye gem! And why this trophy now stands in the Batcave...,1231388,,PF BAT DAH,36 pages : colour illustrations.,,,,,,9.78147E+12,,,"At head of title: DC, super heroes.",,Oxford,2018,2018,,by Michael Dahl ; illustrated by Luciano Vecchio ; Batman created by Bob Kane with Bill Finger.,,The jaguar's jewel,,,,,Monograph,text,,,,,"Dahl, MichaelVecchio, LucianoKane, BobFinger, Bill",,Raintree,"Batman. Tales from the Batcave; Batman; ","Superheroes - FictionVillains - FictionGood and evil - FictionHeroesVillainsGood and evilFiction",,,
,1211340,,CLA PMPP SMI,16 p. : col. ill.,,,,,,170123421,,,,,"Southbank, Vic.",2006,2006,,story by Annette Smith ; photography by Lindsay Edwards.,,Jake and the big fish,,,,,Monograph,text,,,,,"Smith, AnnetteEdwards, Lindsay",,Thomson Nelson,PM photo stories; Level 7,Fishing - Fiction,,,
,1231770,,HR 5: SMI,16 p. : col. ill.,,,,,,9.78017E+12,,,,,"Southbank, Vic.",2006,2006,,story by Annette Smith ; photography by Lindsay Edwards.,,Jake kicks a goal,,,,,Monograph,text,,,,,"Smith, AnnetteEdwards, Lindsay",,Thomson Nelson,PM photo stories; Level 5,"Soccer - FictionAmbition - Fiction",,,
Annotation pending.,1211162,,TR AV KIT 499.513 ,126 p. : ill. (chiefly col.) ; 30 cm. + 1 CD (4 3/4 in.),,,,,,9780987096609 (pbk.),9780987096616 (CD-ROM),,System requirements: Microsoft Windows. In English and the Jandai language. Digital content prescrved ANL,,"Dunwich, Qld.",c2011,2011,,Minjerribah Moorgumpin Elder-in-Council Aboriginal Corporation ; language and culture consultants: Margaret Iselin ... [et al.],,Jandai language dictionary : a dictionary spoken on Stradbroke and Moreton Islands based on words remembered by all Elders and recorded by interested visitors to our shores,,,,,Monograph,kit,,,,,"Iselin, Margaret",Minjerribah Moorgumpin Elder-in-Council Aboriginal Corporation,Minjerribah Moorgumpin Elders-in-Council Aboriginal Corporation,,"Jandai language - Dictionaries - EnglishAboriginal Australians - Queensland - Stradbroke Island - LanguagesAboriginal Australians - Queensland - Moreton Island - LanguagesGoinbal language (E19) (Qld SG56-15)Literature and storiesLanguage - Vocabulary - Dictionaries and glossariesLanguage - Linguistics - Phonology - PronunciationMoreton Island (SE Qld SG56-15)Minjerriba / North Stradbroke Island (SE Qld SG56-15)Minjerriba / Stradbroke Islands (SE Qld SG56-15)",,,
"Summary: When a fierce quake strikes the remote island of Bluehaven, and her father disappears, Jane Doe is thrown headfirst into an epic quest to bring him home. But this ain't no ordinary rescue mission. Her father is lost in a place between worlds; a dangerous labyrinth of shifting rooms, infernal booby traps and secret gateways. And Jane has to find him fast, because someone else is searching for him, too. A man who knows her father's secrets. A man who has an army. With a pyromaniac named Violet and the enigmatic Hickory by her side, Jane is about to discover that this adventure is even bigger on the inside than it looks. This is the blockbuster adventure the worlds have been waiting for.",1265608,,PF LAC,352 pages.,,,,,,9.78176E+12,,,,,"Richmond, VIC",2018,2018,,Jeremy Lachlan.,,Jane Doe and the cradle of all worlds,,,,,Monograph,text,,,,,"Lachlan, Jeremy",,Hardie Grant,Jane Doe chronicles; 1,"Missing persons - FictionVoyages and travels - FictionMissing personsQuests",,,Cradle of all worlds
"Summary: Jane Doe is in more danger than ever before. Stranded in a dying land, she's discovered she's the key to claming the mythical Cradle Sea and saving the Otherworlds. Now, with a little help from her pals, Violet and Hickory, Jane must find a way back to the Manor and face her darkest fears. Because her father is still missing. Roth's army is closing in. And every soul in every world hangs in the balance...",1265600,,PF LAC,408 pages.,,,,,,9.78176E+12,,,,,"Richmond, Victoria",2020,2020,,Jeremy Lachlan.,,Jane Doe and the key of souls,,,,,Monograph,text,,,,,"Lachlan, Jeremy",,Hardie Grant Egmont,Jane Doe chronicles; 2,"Missing persons - FictionVoyages and travels - FictionSecrecy - FictionGood and evil - FictionMissing personsQuestsSecrecyGood and evilFiction",,,Key of souls
,1255654,,TR 823 BRO,"iv, 64 p.",,,,,,9.78192E+12,,,Cover title: Charlotte Bronte&#39;s Jane Eyre.,,"St Kilda, Vic.",2017,2017,,Timothy Roberts.,,"Jane Eyre, Charlotte Bronte",,,,,Monograph,text,,,,,"Roberts, Timothy",,Insight,Insight text guide; ,"Brontë, Charlotte. Jane EyreEnglish fiction - History and criticismEnglish literatureLiterary criticismFiction",,,Charlotte Bronte's Jane Eyre
"Summary: Jellyfish and octopuses are sea creatures. Find out what they look like, what they eat and why some of them are amongst the most dangerous creatures in the ocean. (Publisher)",1231801,,HR 21: 593.5 NEL,16 pages : colour illustrations.,,,,,,9.78017E+12,,,,,"North Shore, N.Z.",2015,2015,,Elsie Nelley.,,Jellyfish and octopuses,,,,,Monograph,text,,,,,"Nelley, Elsie",,Cengage Learning,"PM guided reading. Gold. Level 21; PM. Level 21; PM guided reading; PM library; ","JellyfishOctopusesLevelled readers",,,
,1231762,,HR 5: SMI,16 p. : col. ill.,,,,,,9.78017E+12,,,,,South Melbourne,2011,2011,,story by Annette Smith ; illustrations by Richard Hoit.,,"Jet, the little robot",,,,,Monograph,text,,,,,"Smith, AnnetteHoit, Richard",,Nelson Cengage Learning,"PM stars. Red level 5. Narrative; PM stars; ","Toys - FictionRobots - FictionToysFictionRobots",,,
"Summary: The dragonosaurus is an amazing beast. But it's a made-up pet and Joe wants a real one. When Mrs Rowly the farmer is away from home and a cow has trouble with a calf, Joe finds an animal friend to top the lot.",1211101,,PF LIT DOH,86 pages : illustrations.,,,,,,9.78178E+12,,,,,Edinburgh,2015,2015,,Berlie Doherty ; illustrated by Becka Moor.,,Joe and the dragonosaurus,,,,,Monograph,text,,,,,"Doherty, BerlieMoor, Becka",,Barrington Stoke,Little gems; ,"Mythical animals - FictionCattle - FictionPets - FictionImagination - FictionMythical creaturesCattlePetsImaginationFiction",,,
"Summary: Joey lives on a farm with his mum, his grandad, and his best friend - Riley, a working dog. Joey and Riley are inseparable, sharing adventures all day long. But times are tough, and Joey and his mum have to move to town so that she can find work. Joey misses Riley desperately, relying on his grandad's letters to stay connected to his best mate. Until the day Grandad writes with sad news: Riley has gone missing in a big storm. Joey is devastated - but things might not be as they seem ...",1231451,,JF FOO,32 pages : colour illustrations.,,,,,,9.78073E+12,,,,,"Sydney, NSW",2019,2019,,Mandy Foot.,,Joey and Riley,,,,,Monograph,text,,,,,"Foot, Mandy",,Lothian Children's Books,,"Dogs - FictionWorking animals - FictionAnimal-human relationships - FictionCountry life - Australia - FictionSingle-parent families - FictionLost and found - FictionDogsWorking animalsAnimal-human relationshipsRural areasSingle parent familiesLost propertyPicture booksFiction",,,
"Summary: What are we going to do? You dad, does he snore too? My dad snores so much that no one else can sleep . . . until we find a really clever solution! (Publisher)",1231395,,JF WIL,32 unnumbered pages : colour illustrations.,,,,,,9.78014E+12,,,,,"Melbourne, VIC",2019,2019,,illustrated by Peter Carnavas.,,John Williamson's My Dad snores,,,,,Monograph,text,,,,,"Williamson, JohnCarnavas, Peter",,Penguin Random House Australia,,"Parent and child - FictionFathers - FictionParental behaviourFathersPicture booksFiction",,,My Dad snores
"Summary: With the help of a nefarious billionaire, the Joker and Harley Quinn hatch a plan to lock up the Justice League for good. First they'll kidnap the Flash and Huntress. Then they'll lure the Justice League's most powerful members - including Superman and Wonder Woman - into a trap deep beneath Arkham Asylum. Can the world's greatest team of super heroes thwart the Joker and Harley before it's too late? Or will this perilous pair doom them forever in a Justice League jailhouse?",1231377,,PF JUS SIM,80 pages : colour illustrations.,,,,,,9.7815E+12,,,,,"North Mankato, MN",2018,2018,,by Louise Simonson ; illustrated by Tim Levins.,,The Joker and Harley Quinn's Justice League jailhouse,,,,,Monograph,text,,,,,"Simonson, LouiseLevins, Tim",,Stone Arch Books,Justice League; ,"Heroes - FictionVillains - FictionKidnapping - FictionHeroesVillainsKidnappingFiction",,,
,1231790,,HR 8: NEL,16 p. : col. ill.,,,,,,9.78017E+12,,,,,South Melbourne,2011,2011,,story by Elise Nelley ; illustrations by Chantal Stewart.,,Jolly Roger and the coconuts,,,,,Monograph,text,,,,,"Nelley, ElsieStewart, Chantal",,Nelson Cengage Learning,"PM stars. Yellow level 8. Narrative; PM stars; ","Pirates - FictionCoconuts - FictionPiratesFiction",,,
,1211339,,CLA PMGP CRO,16 pages : colour illustrations.,,,,,,9.78017E+12,,,Running words: 193.,,"South Melbourne, Victoria, Australia",2017,2017,,story by Debbie Croft ; illustrations by Chantal Stewart.,,Jolly Roger and the fish,,,,,Monograph,text,,,,,"Croft, DebbieStewart, Chantal",,Cengage Learning Australia,"PM guided reading. Blue. Level 10; PM library; PM guided reading; PM writing : PM levelled exemplar text; 10","Pirates - FictionCats - FictionPiratesCatsFictionLevelled readers",,,
,1211350,,CLA PMSP RAN,16 p. : col. ill.,,,,,,170096181,,,,,South Melbourne,2000,2000,,story by Beverley Randell ; illustrations by Chantal Stewart.,,Jolly Roger and the treasure,,,,,Monograph,text,,,,,"Randell, BeverleyStewart, Chantal",,Nelson ITP,PM plus; Level 7,"Pirates - FictionTreasure - Fiction",,,
Summary: Meet Jolly Roger and his pirates as Jolly Roger tries to find his pirate hat. Where could it be?,1231757,,HR 6: RAN,16 pages : colour illustrations.,,,New edition.,,,9.78017E+12,,,"Reading age: 05, 05.5, 06 and 06.5.",,"Southbank, Vic.",2017,2017,,story by Beverley Randall ; illustrations by Chantal Stewart.,,"Jolly Roger, the pirate",,,,,Monograph,text,,,,,"Randell, BeverleyStewart, Chantal",,Cengage Learning Australia,"PM Library. Yellow series; PM Library. Yellow. Fiction. Guided reading level, 06; PM library; PM guided reading; ","Pirates - FictionHats - FictionLost and found - FictionPiratesHatsLost propertyFictionNarrativesLevelled readers",,,
,1231753,,HR 6: SMI,16 p. : col. ill.,,,,,,9.78017E+12,,,,,"Southbank, Vic.",2006,2006,,story by Annette Smith ; photography by Lindsay Edwards.,,Josh rides a skateboard,,,,,Monograph,text,,,,,"Smith, AnnetteEdwards, Lindsay",,Thomson Nelson,PM photo stories; Level 6,"Skateboarding - FictionSharing - Fiction",,,
,1231787,,HR 8: SMI,16 pages : colour illustrations.,,,,,,9.78017E+12,,,Running words: 151.,,"South Melbourne, Victoria, Australia",2017,2017,,story by Annette Smith ; illustrations by Samantha Asri.,,Josh's scooter,,,,,Monograph,text,,,,,"Smith, AnnetteAsri, Samantha",,Cengage Learning Australia,"PM guided reading. Yellow. Level 8; PM guided reading; PM library; ","Scooter boarding - FictionRecreationFictionLevelled readers",,,
"Summary: Johnathan Thurston is widely regarded as rugby league's greatest player. This autobiography will follow Thurston's journey from a Brisbane kid who was written off as too skinny, too slow and too wild to play professionally, to his debut with the Canterbury Bulldogs in 2003, to State of Origin star and total legend of the game.",1231927,,796.333 THU,"245 pages, 8 unnumbered pages of plates : colour illustrations, portraits.",,,Young readers' edition.,,,9.78146E+12,,,Young readers&#39; edition of Johnathan Thurston: the autobiography.,,"Sydney, NSW, Australia",2019,2019,,Johnathan Thurston with James Phelps.,,JT : the making of a total legend,,,,,Monograph,text,,,,,"Thurston, JohnathanPhelps, James",,HarperCollins Childrens Books,,"Thurston, JohnathanRugby League - AutobiographySportspeople, Aboriginal - AutobiographySportspeople, Australian - AutobiographyRugby leagueAboriginal peoplesAthletesAutobiographies",,,Johnathan Thurston : the making of a total legend
,1252021,,HR 3 636.7 NEU,23 pages : colour illustrations.,,,,,,9.78001E+12,,,,,London,2017,2017,,Susan B. Neuman.,,"Jump, puppy!",,,,,Monograph,text,,,,,"Neuman, Susan B",,Collins,"National Geographic kids. Level 1; National Geographic kids readers; ","Levelled readersDogsPets",,,
"Summary: Welcome to future Earth. All wildlife has been replaced by mechanical creatures, developed by humans, but evolving autonomously. Jurassica were created to provide humans with safety against the increasingly deadly Mechanica that are sweeping the globe, but the strength and ferocity of these new hybrid dinosaur species pose an unforeseen risk to the whole of humanity. Welcome to the world of Jurassica. (Publisher)",1265609,,LF BAL,32 unnumbered pages : colour illustrations.,,,,,,9.78176E+12,,,,,Sydney,2019,2019,,by Lance Balchin.,,Jurassica : a beginner's field guide,,,,,Monograph,text,,,,,"Balchin, Lance",,Hardie Grant Egmont,Beginner's field guide; ,"Robots - FictionDinosaurs - FictionFuture - FictionEnvironment - FictionRobotsDinosaursFuture settings (Stories)Environmental degradationPicture books",,,
"Summary: Why is the ocean blue? What is rain? What happened to the dinosaurs? It might be time for bed, but one child is too full of questions about the world to go to sleep just yet. Little ones and their parents will be charmed and delighted as a patient father offers up increasingly creative responses to his child's night-time wonderings. Any child who has ever asked 'Why?' - and any parent who has attempted an explanation - will recognise themselves in this sweet storybook for dreamers who are looking for answers beyond 'Just because'.",1231719,,JF BAR,32 unnumbered pages : colour illustrations.,,,,,,9.78141E+12,,,,,"Newtown, NSW",2019,2019,,Mac Barnett ; Illustrated by Isabelle Arsenault.,,Just because,,,,,Monograph,text,,,,,"Barnett, MacArsenault, Isabelle",,Walker Books,,"Parent and child - FictionQuestioning - FictionQuestions (Sentences)Parental behaviourFictionPicture books",,,
,1252022,,HR 12: 599.2 JOH,23 pages ; colour illustrations.,,,,,,9.78193E+12,,,Text level: Early childhood.,,"Glebe, NSW",2017,2017,,Rebecca Johnson.,,Kangaroos,,,,,Monograph,text,,,,,"Johnson, Rebecca",,Pascal Press,"Steve Parish kids. First facts; Steve Parish kids; ",Kangaroos,,,
,1265612,,CLA PREP GIL,16 p. : col. ill.,,,,,,,,,Text type: Narrative.,,South Melbourne,2009,2009,,story by Jenny Giles ; illustrations by Marjorie Scott.,,Kate goes to a farm,,,,,Monograph,text,,,,,"Giles, JennyScott, Marjorie",,Nelson Cengage Learning,PM benchmark;  level 3,"Farms - FictionSize perception - FictionSize perceptionFictionFarms",,,
"Summary: Imagine a world where everyone is kind - how can we make that come true? With gorgeous pictures by a host of top illustrators, Kind is a timely, inspiring picture book about the many ways children can be kind, from sharing their toys and games to helping those from other countries feel welcome. Illustrations donated by 38 international illustrators, including many top names and rising stars.",1211175,,JF GRE,48 pages : colour illustrations.,,,,,,9.78141E+12,,,,,London,2019,2019,,Alison Green ; endorsed by Alex Scheffler.,,Kind,,,,,Monograph,text,,,,,"Green, Alison",,Scholastic UK,,"Kindness - FictionAnimals - FictionGentlenessAnimalsFictionPicture books",,,
"Summary: Nikolai Lantsov has always had a gift for the impossible. No one knows what he endured in his country's bloody civil war - and he intends to keep it that way. Now, as enemies gather at his weakened borders, the young king must find a way to refill Ravka's coffers, forge new alliances, and stop a rising threat to the once-great Grisha Army. Yet with every day a dark magic within him grows stronger, threatening to destroy all he has built. With the help of a young monk and a legendary Grisha Squaller, Nikolai will journey to the places in Ravka where the deepest magic survives to vanquish the terrible legacy inside him. He will risk everything to save his country and himself. But some secrets aren't meant to stay buried - and some wounds aren't meant to heal.",1211111,,MF BAR,514 pages : map.,,,,,,9.78151E+12,,,,,London,2019,2019,,Leigh Bardugo.,,King of scars,,,,,Monograph,text,,,,,"Bardugo, Leigh",,Orion,King of scars; 1,"Kings, queens and rulers - FictionMagic - FictionGood and evil - FictionVoyages and travels - FictionSecrecy - FictionKingsSorceryGood and evilQuestsSecrecyFictionAdventure stories",,,
"Summary: Because he was the king, he could make the sheep do whatever he wanted, whenever he pleased. But he just couldn't make them like him. A royal romp about a little pig with a lot to learn.",1211289,,F BLA,[32] p. : col. ill.,,,,,,9.78174E+12,,,,,"Lindfield, N.S.W.",2013,2013,,Nick Bland.,,King Pig,,,,,Monograph,kit,,,,,"Bland, Nicholas",,Scholastic Press,,"Pigs - FictionSheep - FictionConduct of life - FictionKings, queens and rulers - FictionPigsCodes of conductKingsSheepFictionPicture books",,,
"Summary: Because he was the king, he could make the sheep do whatever he wanted, whenever he pleased. But he just couldn't make them like him. A royal romp about a little pig with a lot to learn.",1231619,,JF BLA,[32] p. : col. ill.,,,,,,9.78174E+12,,,,,"Lindfield, N.S.W.",2013,2013,,Nick Bland.,,King Pig,,,,,Monograph,text,,,,,"Bland, Nicholas",,Scholastic Press,,"Pigs - FictionSheep - FictionConduct of life - FictionKings, queens and rulers - FictionPigsCodes of conductKingsSheepFictionPicture books",,,
"Summary: Remembering his dark past as a young knight in the service of King Roderick, Captain Drake investigates long-ago mysteries in order to track down three thieves who may hold the key to finding Dessa's missing twin brother.",1231676,,MF THR: CHA,112 pages : chiefly colour illustrations.,,,,,,9.78155E+12,,,,,"Toronto, Ont.",[2014],2014,,Scott Chantler.,,The king's dragon #4,,,,,Monograph,graphic,,,,,"Chantler, Scott",,Kids Can Press,Three thieves; bk. 4,"Princes and princesses - FictionDragons - FictionKnights and knighthood - FictionRobbers and outlaws - FictionBrothers and sisters - FictionTwins - FictionMissing persons - FictionPrincesDragonsChivalryTheftSiblingsTwinsMissing personsGraphic novels",,,
,1231742,,HR 7: SMI,16 p. : col. ill.,,,,,,170124428,,,,,South Melbourne,2006,2006,,story by Annette Smith ; illustrations by Ben Spiby.,,Kitty cat runs up a tree,,,,,Monograph,text,,,,,"Smith, AnnetteSpiby, Ben",,Thomson Nelson,PM gems; Yellow. Level 7,"Cats - FictionFood - FictionTrees - FictionStealing - Fiction",,,
"Summary: Wish and Xar are now outlaws on the run, hunted by Warriors, Wizards and worst of all, by WITCHES... Can they find the ingredients for the Spell to Get Rid of Witches before the Kingwitch gets his talons on Magic-that-Works-on-Iron? Their next Quest is the most terrifying and treacherous of all. .. And someone is going to betray them.",1255705,,PF COW,"382 pages : illustrations, map.",,,,,,9.78144E+12,,,,,London,2019,2019,,written and illustrated by Cressida Cowell.,,Knock three times,,,,,Monograph,text,,,,,"Cowell, Cressida",,Hodder Children's Books,The Wizards of Once; 3,"Witches and warlocks - FictionMagic - FictionVoyages and travels - FictionBetrayal - FictionWizardsWitchesSorceryQuestsBetrayalFiction",,,
,1252023,,HR 12: 599.2 JOH,23 pages ; colour illustrations.,,,,,,9.78193E+12,,,Text level: Early childhood.,,"Glebe, NSW",2017,2017,,Rebecca Johnson.,,Koalas,,,,,Monograph,text,,,,,"Johnson, Rebecca",,Pascal Press,"Steve Parish kids. First facts; Steve Parish kids; ",Koalas,,,
"Summary: Seirin High is smashing its way through the Inter-High qualifiers. But to make it to the Finals League, they'll have to win twice in one day! (Back cover)",1211200,,MF KUR: FUJ ,390 pages : chiefly illustrations.,,,Shonen Jump manga edition.,,,9.78142E+12,,,Reads from right to left. Translated from the Japanese.,,"San Francisco, CA",2016,2016,,Tadatoshi Fujimaki.,,Kuroko's basketball. 3 & 4,,,,,Monograph,graphic,,,,,"Fujimaki, Tadatoshi",,"VIZ Media, LLC",Shonen Jump manga; ,"Basketball - FictionAthletic ability - FictionGraphic novelsMangaBasketballAchievementFiction",,,
"Summary: Aiming for the finals league, Seirin takes on Shutoku and their Miracle Generation ace, Midorima. The team's fired up thanks to Kagami, but how will this battle end?! Meanwhile, a friend from Kuroko's middle school appears. Will his teammates find out what happened in Kuroko's mysterious past?! (Back cover)",1211199,,MF KUR: FUJ ,394 pages : chiefly illustrations.,,,Shonen Jump manga edition.,,,9.78142E+12,,,Reads from right to left. Translated from the Japanese.,,"San Francisco, CA",2016,2016,,Tadatoshi Fujimaki.,,Kuroko's basketball. 5 & 6,,,,,Monograph,graphic,,,,,"Fujimaki, Tadatoshi",,"VIZ Media, LLC",Shonen Jump manga; ,"Basketball - FictionAthletic ability - FictionGraphic novelsMangaBasketballAchievementFiction",,,
,1231754,,HR 6: DAL,16 p. : col. ill.,,,,,,170123367,,,,,"Southbank, Vic.",2006,2006,,story by Jay Dale ; photography by Lindsay Edwards.,,Lamby's breakfast,,,,,Monograph,text,,,,,"Dale, JayEdwards, Lindsay",,Thomson Nelson,PM photo stories; Level 6,"Lost and found - FictionSheep - FictionBreakfasts - Fiction",,,
"Summary: Finn and Kas are surviving on the coast - more than surviving: they're enjoying the surf, the summer and being together. And now, the lights of Wentworth mean life could soon be back to normal. Finn is cautiously optimistic, but Kas knows she can never escape her status as a Siley, and that a return to slavery is a very real possibility. She's nervous. And it turns out she's right to be. When Kas is captured and taken inside the fences, Finn faces his greatest challenge yet.",1265603,,SF SMI,246 pages.,,,,,,9.78193E+12,,,Sequel to: The Road to Winter and Wilder country.,,"Melbourne, Australia",2019,2019,,Mark Smith.,,Land of fences #3,,,,,Monograph,text,,,,,"Smith, Mark",,Text Publishing,Winter Trilogy; 3,"Survival - FictionRefugees - FictionFriendship - FictionGangs - FictionWilderness areas - Australia - FictionSurvivalRefugeesFriendshipGangsWilderness areas",,,
"Summary: When Arthur and Rose were little, they were heroes in the Land of Roar, an imaginary world that they found by climbing through the folding bed in their grandad's attic. Roar was filled with things they loved - dragons, mermaids, ninja wizards and adventure - as well as things that scared them (including a very creepy scarecrow). Now the twins are eleven, Roar is just a memory. But when they help Grandad clean out the attic, Arthur is horrified as Grandad is pulled into the folding bed and vanishes. Is he playing a joke? Or is Roar real?",1231928,,PF MCL,284 pages.,,,,,,9.78141E+12,,,,,London,2019,2019,,Jenny McLachlan.,,The Land of Roar,,,,,Monograph,text,,,,,"McLachlan, Jenny",,Egmont,,"Twins - FictionImagination - FictionDragons - FictionVoyages and travels - FictionTwinsImaginationDragonsQuestsFiction",,,
"Summary: Special Agent Bex arranges to meet teenage Kieron in a café to tell him that she can't risk his life any more. She parks her car and seconds later it blows up, scattering flaming wreckage everywhere. She needs to get Kieron out of danger's way - but just as they get to the flat, it too explodes. Bex is forced to face the possibility that someone wants to kill her team, but whoever it is doesn't know about Kieron. That may be their only saving grace. But how were the explosions managed? And who wants them dead? (Publisher)",1211116,,MF LAN,262 pages.,,,,,,9.78185E+12,,,,,London,2019,2019,,Andrew Lane.,,Last boy standing,,,,,Monograph,text,,,,,"Lane, Andy",,Piccadilly Press,AWOL; 3,"Secret service - Great Britain - FictionSpies - FictionAssassination - FictionBombings - FictionIntelligence organisationsEspionageAssassinationsBombsFiction",,,
